*************Run*************
1;Alejandra Medina;M;1996-04-09
2;Alejandra Navarro;M;1989-06-13
3;Alejandra Ramírez;M;1991-11-24
4;Alejandra Sánchez;M;1993-03-02
5;Alejandro Jiménez;H;1992-04-03
6;Alejandro Vargas;H;1986-03-13
7;Alejandro Álvarez;H;1985-03-26
8;Ana López;M;1993-02-28
9;Ana Torres;M;1982-12-03
10;Antonio Rivera;H;1988-04-05
11;Antonio Romero;H;1997-05-11
12;Antonio Álvarez;H;1980-12-09
13;Beatriz Navarro;M;1992-02-25
14;Beatriz Rojas;M;2000-11-11
15;Carlos Díaz;H;1995-10-21
16;Carlos Rivera;H;1981-08-15
17;Carlos Vázquez;H;1998-09-06
18;Carmen Castro;M;2000-08-25
19;Carmen Gómez;M;1989-11-24
20;Carmen Jiménez;M;1989-08-18
21;Carmen Ramos;M;1982-02-20
22;Carmen Rojas;M;1987-02-09
23;Catalina Gutiérrez;M;1988-11-24
24;Catalina Vázquez;M;2000-02-17
25;Claudia Díaz;M;1999-12-10
26;Claudia Filip;M;1984-10-24
27;Claudia Hernández;M;2000-01-17
28;Claudia Ramírez;M;1993-06-11
29;Claudia Valencia;M;2000-01-04
30;Daniela Ramos;M;1986-06-29
31;Daniela Reyes;M;1987-02-28
32;David González;H;1991-09-28
33;David Ruiz;H;1980-03-24
34;Diego Castro;H;1982-04-03
35;Eduardo Delgado;H;1998-01-03
36;Elisa Ramírez;M;2000-10-10
37;Emilia Valencia;M;1989-12-27
38;Emilia Álvarez;M;1981-05-01
39;Esperanza Delgado;M;1996-03-25
40;Esperanza Sánchez;M;1985-11-25
41;Francisco Hernández;H;1996-05-03
42;Francisco Jiménez;H;1989-01-17
43;Gabriela Gutiérrez;M;1991-12-01
44;Gabriela López;M;1985-04-02
45;Gabriela Morales;M;1981-02-26
46;Héctor Medina;H;1991-07-07
47;Héctor Rivera;H;1983-09-10
48;Isabel Fuentes;M;1994-12-23
49;Isabel Morales;M;1999-04-14
50;Isabel Navarro;M;2000-06-01
51;Isabel Vargas;M;1986-08-04
52;Javier Reyes;H;1994-05-19
53;Javier Torres;H;1995-01-02
54;José Ramírez;H;1988-07-15
55;José Vega;H;1992-02-13
56;Juan Delgado;H;1990-11-12
57;Juan Matei;H;1980-12-25
58;Julia Díaz;M;1980-09-06
59;Julia González;M;1986-10-21
60;Julia Ramos;M;1985-06-09
61;Laura Delgado;M;1984-11-27
62;Luis Chávez;H;1987-04-10
63;Manuel Molina;H;1992-04-27
64;Marcos Matei;H;1997-10-13
65;Marcos Morales;H;1987-01-15
66;Marcos Navarro;H;1988-08-08
67;Marcos Vargas;H;1999-09-21
68;Mario Ortiz;H;1985-05-03
69;Marta Chávez;M;1994-05-09
70;Marta Díaz;M;1984-08-17
71;Martín Reyes;H;1998-02-13
72;María Torres;M;1991-02-12
73;Miguel Valencia;H;1990-08-03
74;Mihai García;H;1994-03-31
75;Mihai Martínez;H;1981-09-15
76;Mihai Moreno;H;1989-07-19
77;Mihai Rivera;H;1994-07-21
78;Mihai Sánchez;H;1987-01-02
79;Mihai Valencia;H;1988-11-26
80;Natalia Fuentes;M;1998-05-24
81;Pablo Ramos;H;1995-04-06
82;Patricia Gómez;M;2000-07-17
83;Paula Chávez;M;1987-06-14
84;Paula Morales;M;1994-12-10
85;Paula Vega;M;1995-06-25
86;Pedro Filip;H;1986-06-02
87;Ricardo Flores;H;1995-07-07
88;Ricardo Romero;H;1994-02-10
89;Roberto Hernández;H;1987-07-28
90;Rosa Medina;M;1988-10-17
91;Santiago Navarro;H;1987-05-07
92;Sergio Castro;H;1999-02-18
93;Silvia Díaz;M;1986-10-09
94;Silvia Flores;M;1991-10-23
95;Silvia García;M;1992-12-10
96;Silvia Morales;M;1996-02-06
97;Sofía Díaz;M;1993-05-31
98;Sofía Medina;M;1994-05-14
99;Teresa Rivera;M;1986-12-02
100;Teresa Rodríguez;M;2000-04-28
