*************Run*************
1;Alejandra Díaz;M;1993-05-18
2;Alejandra Rojas;M;1995-06-24
3;Alejandra Torres;M;1989-05-30
4;Alejandro Fuentes;H;1992-05-29
5;Ana Castro;M;1996-12-14
6;Antonio Chávez;H;1980-12-19
7;Antonio Cruz;H;2000-10-01
8;Antonio González;H;1982-03-30
9;Antonio Martínez;H;1987-07-30
10;Antonio Mendoza;H;2000-05-01
11;Antonio Romero;H;1985-04-13
12;Antonio Álvarez;H;1997-11-18
13;Beatriz Jiménez;M;1994-04-12
14;Beatriz Moreno;M;1981-07-20
15;Beatriz Valencia;M;1981-09-07
16;Carlos Hernández;H;1989-08-30
17;Carmen González;M;1989-03-24
18;Carmen Torres;M;1980-12-06
19;Catalina Cruz;M;1998-05-15
20;Catalina Delgado;M;1984-07-21
21;Catalina García;M;2000-01-11
22;Claudia Álvarez;M;1993-07-13
23;Daniela Ruiz;M;1994-12-13
24;David Martínez;H;1981-06-28
25;Diego López;H;2000-05-03
26;Diego Suárez;H;2000-01-16
27;Elena Filip;M;1989-05-28
28;Elena Medina;M;1992-03-11
29;Elena Mendoza;M;1981-09-17
30;Elisa Pérez;M;1984-01-03
31;Elisa Ramos;M;1983-06-27
32;Emilia Hernández;M;1984-04-15
33;Emilia Jiménez;M;1990-04-26
34;Emilia Sánchez;M;1982-01-10
35;Francisco Martínez;H;1999-06-02
36;Francisco Rodríguez;H;1988-09-22
37;Francisco Torres;H;1989-03-06
38;Gabriel Flores;H;1995-04-30
39;Gabriel Jiménez;H;1997-04-13
40;Gabriel Matei;H;1984-07-23
41;Gabriel Mendoza;H;1992-03-02
42;Gabriel Torres;H;1983-10-25
43;Gabriela Gómez;M;1982-01-21
44;Isabel Hernández;M;1997-01-02
45;José Fuentes;H;1982-04-01
46;José García;H;1985-02-12
47;José Gutiérrez;H;2000-10-17
48;Juan Torres;H;1987-08-12
49;Laura Ramírez;M;1984-01-09
50;Laura Valencia;M;1982-12-12
51;Lavinia Castro;M;1999-02-15
52;Lavinia Díaz;M;1982-07-20
53;Lavinia Rojas;M;1997-01-13
54;Lavinia Suárez;M;1997-06-13
55;Manuel Castro;H;1993-03-17
56;Marcos Ramos;H;1995-07-28
57;Marcos Rodríguez;H;1989-02-07
58;Mario Rivera;H;1994-12-26
59;Mario Sánchez;H;1981-04-03
60;Martín García;H;1986-10-06
61;Martín Hernández;H;1997-08-25
62;María Vega;M;1985-04-07
63;Miguel Molina;H;1996-10-11
64;Miguel Ramírez;H;1995-12-11
65;Mihai Hernández;H;1983-11-21
66;Mihai Mendoza;H;1986-10-22
67;Mihai Rodríguez;H;1995-07-13
68;Mihai Suárez;H;1999-07-04
69;Mihai Vargas;H;1993-06-27
70;Natalia Moreno;M;1982-10-07
71;Natalia Ortiz;M;1980-05-21
72;Pablo Pérez;H;1987-07-01
73;Pablo Rojas;H;1993-01-10
74;Pablo Serrano;H;1987-09-05
75;Paula Díaz;M;1993-04-02
76;Paula González;M;1998-02-19
77;Paula Vázquez;M;1986-06-14
78;Pedro Delgado;H;1984-10-30
79;Pedro Fuentes;H;1993-08-03
80;Pedro Ramos;H;1986-12-11
81;Pedro Ramírez;H;1992-12-26
82;Pedro Valencia;H;1983-05-23
83;Rafael Fuentes;H;1997-02-01
84;Rafael Ortiz;H;1980-01-22
85;Ricardo Martínez;H;1998-04-07
86;Roberto Fuentes;H;1980-03-18
87;Roberto Morales;H;1991-04-22
88;Roberto Ruiz;H;1980-02-12
89;Rosa Jiménez;M;1989-05-03
90;Rosa Sánchez;M;1996-08-26
91;Santiago Fuentes;H;1995-09-08
92;Santiago Morales;H;1987-03-05
93;Santiago Pérez;H;2000-02-08
94;Sergio Díaz;H;2000-03-13
95;Sergio Vargas;H;1993-11-14
96;Silvia Álvarez;M;1990-12-01
97;Sofía Martínez;M;1982-10-21
98;Sofía Medina;M;1997-05-08
99;Teresa Navarro;M;1994-06-30
100;Teresa Rodríguez;M;1980-05-31
